,Unnamed: 0,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
65,65.0,0.7632168027571684,0.5126,0.0,0.44079999999999997,0.0443,0.0023
66,66.0,0.7611803394224742,0.5106,0.0,0.4416,0.0446,0.0032
67,67.0,0.7621763220355632,0.5094,0.0,0.4451,0.042199999999999994,0.0032999999999999995
68,68.0,0.7641253049140118,0.5075,0.0,0.447,0.0424,0.0031
69,69.0,0.7657147701375845,0.5036999999999999,0.0,0.449,0.044000000000000004,0.0032999999999999995
70,70.0,0.7650261940576238,0.5038,0.0,0.45039999999999997,0.0417,0.0041
71,71.0,0.7663839472125906,0.4997,0.0,0.45409999999999995,0.0406,0.005600000000000001
72,72.0,0.7673975538049423,0.494,0.0,0.45909999999999995,0.0414,0.0055000000000000005
73,73.0,0.7681388068253127,0.49089999999999995,0.0,0.46240000000000003,0.0408,0.005900000000000001
74,74.0,0.7710488013178906,0.48869999999999997,0.0,0.4653,0.039,0.006999999999999999
75,75.0,0.7713318811159011,0.486,0.0001,0.4682,0.037,0.0088
76,76.0,0.7740202953686999,0.4817,0.0,0.4711,0.0368,0.0104
77,77.0,0.7717096886014925,0.4783,0.0,0.4733,0.0361,0.0123
78,78.0,0.7736624822798608,0.4763,0.0,0.4742,0.0352,0.0143
79,79.0,0.7739131162389065,0.4739,0.0,0.4753,0.0341,0.0167
80,80.0,0.7756175290015916,0.4692,0.0,0.4793,0.033400000000000006,0.0181
81,81.0,0.7771859575144486,0.4673,0.0,0.4813,0.0331,0.0183
82,82.0,0.7793039302639349,0.46520000000000006,0.0,0.4824,0.032,0.0204
83,83.0,0.7803360917011406,0.4644,0.0,0.48310000000000003,0.0302,0.0223
84,84.0,0.7777355541215182,0.46270000000000006,0.0,0.4838,0.0302,0.0233
85,85.0,0.7787762965322135,0.45990000000000003,0.0,0.4853,0.029900000000000003,0.024900000000000002
86,86.0,0.7807145560504958,0.45840000000000003,0.0,0.4864,0.0291,0.026099999999999998
87,87.0,0.7814997054247331,0.4559,0.0,0.4888,0.029500000000000002,0.0258
88,88.0,0.7853921453131377,0.45640000000000003,0.0,0.4899,0.027000000000000003,0.026699999999999998
89,89.0,0.781676101525577,0.4517,0.0,0.4938,0.0271,0.027399999999999997
90,90.0,0.7838368728808995,0.44659999999999994,0.0,0.4982,0.027000000000000003,0.0282
91,91.0,0.7835855966107579,0.4439,0.0,0.4999,0.0281,0.0281
92,92.0,0.7847238262559779,0.4445,0.0,0.4991,0.027999999999999997,0.028399999999999998
93,93.0,0.7862773328292855,0.44179999999999997,0.0,0.5009,0.0275,0.0298
94,94.0,0.7874680461413567,0.4362,0.0,0.505,0.0281,0.0307
95,95.0,0.7864495757287946,0.434,0.0,0.507,0.0277,0.0313
96,96.0,0.7895474550350808,0.43310000000000004,0.0,0.5075999999999999,0.0279,0.031400000000000004
97,97.0,0.7894637898228493,0.43079999999999996,0.0,0.509,0.0282,0.032
98,98.0,0.7903764345221828,0.42719999999999997,0.0,0.511,0.0288,0.033
99,99.0,0.8525999999999999,0.42310000000000003,0.0,0.516,0.0281,0.0328
100,100.0,0.8542918882728375,0.4314,0.0,0.5084000000000001,0.027800000000000002,0.032400000000000005
101,101.0,0.8551852127520033,0.43829999999999997,0.0,0.5017,0.0282,0.031799999999999995
102,102.0,0.8591017022256325,0.4476,0.0,0.4914,0.028999999999999998,0.032
103,103.0,0.860988855342596,0.45280000000000004,0.0,0.4867,0.0302,0.030299999999999997
104,104.0,0.8619846047076652,0.4603,0.0,0.48,0.029299999999999996,0.030399999999999996
105,105.0,0.8639364754434802,0.4669,0.0,0.47159999999999996,0.03,0.0315
106,106.0,0.8660328185334762,0.4722,0.0,0.4671,0.029900000000000003,0.0308
107,107.0,0.8675105488643545,0.4758,0.0,0.46299999999999997,0.0304,0.0308
108,108.0,0.8708110605516898,0.4806,0.0,0.45799999999999996,0.030899999999999997,0.0305
109,109.0,0.8700877394914504,0.4833,0.0,0.4533,0.0327,0.030699999999999998
110,110.0,0.871413243192155,0.48560000000000003,0.0,0.45049999999999996,0.0345,0.0294
111,111.0,0.8750416099801741,0.4892,0.0,0.44420000000000004,0.0378,0.0288
112,112.0,0.876681685082758,0.49420000000000003,0.0,0.4375,0.0375,0.0308
113,113.0,0.8778932540731151,0.4974,0.0,0.433,0.0366,0.033
114,114.0,0.87933805715541,0.4993,0.0,0.42969999999999997,0.035300000000000005,0.0357
115,115.0,0.8808808756730024,0.5056,0.0,0.4213,0.0347,0.0384
116,116.0,0.8832613386625536,0.5085000000000001,0.0,0.4163,0.0359,0.039299999999999995
117,117.0,0.8849163388356118,0.511,0.0,0.41340000000000005,0.0362,0.0394
118,118.0,0.8842572898546447,0.513,0.0,0.4108,0.0351,0.041100000000000005
119,119.0,0.8852109646035065,0.514,0.0,0.4079,0.035699999999999996,0.0424
120,120.0,0.8865384043805159,0.5153,0.0,0.40590000000000004,0.036000000000000004,0.042800000000000005
121,121.0,0.8858391889677825,0.5165,0.0,0.4048,0.036699999999999997,0.042
122,122.0,0.8865990118404007,0.5176,0.0,0.40240000000000004,0.0368,0.0432
123,123.0,0.8872460997128839,0.5203,0.0,0.4004,0.0352,0.0441
124,124.0,0.8865545744334667,0.5204,0.0,0.39990000000000003,0.0356,0.0441
125,125.0,0.8859216732112385,0.5185,0.0,0.3994,0.0379,0.044199999999999996
126,126.0,0.8881977405872745,0.5171,0.0,0.3987,0.039900000000000005,0.0443
127,127.0,0.8864078253956911,0.5178,0.0,0.3983,0.038900000000000004,0.045
128,128.0,0.887558969006313,0.5201,0.0,0.39840000000000003,0.0374,0.0441
129,129.0,0.8863783004299567,0.521,0.0,0.3983,0.0366,0.0441
130,130.0,0.887650038512603,0.5201,0.0,0.3981,0.037599999999999995,0.044199999999999996
131,131.0,0.8872590666851835,0.5195000000000001,0.0,0.3992,0.0385,0.042800000000000005
132,132.0,0.886456508858431,0.5164,0.0,0.39890000000000003,0.040999999999999995,0.0437
133,133.0,0.8877140362434358,0.5154,0.0,0.39799999999999996,0.042,0.0446
134,134.0,0.8868760380348433,0.5162,0.0,0.39660000000000006,0.040999999999999995,0.0462
135,135.0,0.8865187382031013,0.5142,0.0,0.3975,0.042,0.0463
136,136.0,0.8885183275382991,0.5134000000000001,0.0,0.3954,0.0437,0.0475
137,137.0,0.8880373462548846,0.5139,0.0,0.39280000000000004,0.0441,0.0492
138,138.0,0.8897497631889674,0.5144,0.0,0.3901,0.0446,0.0509
139,139.0,0.89115223632079,0.5138,0.0,0.389,0.0447,0.0525
140,140.0,0.8894944742948687,0.5136999999999999,0.0,0.3883,0.044500000000000005,0.0535
141,141.0,0.8883587496897651,0.5145000000000001,0.0,0.3861,0.044500000000000005,0.054900000000000004
142,142.0,0.8883702956177992,0.5142,0.0,0.3846,0.044500000000000005,0.0567
143,143.0,0.8895733337774356,0.5123,0.0,0.3837,0.0462,0.057800000000000004
144,144.0,0.8904829012966446,0.5131,0.0,0.3811,0.0463,0.059500000000000004
145,145.0,0.890541623978145,0.5147999999999999,0.0,0.3799,0.0443,0.061
146,146.0,0.890931949929252,0.5153,0.0,0.3788,0.0435,0.062400000000000004
147,147.0,0.8917781321571138,0.516,0.0,0.3762,0.0435,0.0643
148,148.0,0.8919911917027379,0.5132,0.0,0.3761,0.045700000000000005,0.065
149,149.0,0.8917893309397487,0.5127,0.0,0.3753,0.0461,0.0659
150,150.0,0.8922793823416865,0.5101,0.0,0.37549999999999994,0.0482,0.0662
151,151.0,0.8928475569265422,0.5094,0.0,0.3736,0.0483,0.0687
152,152.0,0.8924863925967711,0.5102,0.0,0.37189999999999995,0.047400000000000005,0.0705
153,153.0,0.8938619095045633,0.5097,0.0,0.3716,0.048100000000000004,0.07060000000000001
154,154.0,0.8947262691685833,0.5104,0.0,0.3714,0.0473,0.0709
155,155.0,0.8924620841644695,0.5102,0.0,0.37189999999999995,0.0479,0.07
156,156.0,0.8939642939021938,0.5072,0.0,0.3718,0.0501,0.0709
157,157.0,0.8941266984701915,0.5069,0.0,0.3716,0.050499999999999996,0.071
158,158.0,0.8951635358056383,0.5068,0.0,0.36920000000000003,0.0509,0.0731
159,159.0,0.8955944132601863,0.5058,0.0,0.3705,0.0506,0.0731
160,160.0,0.895568183714836,0.5072,0.0,0.3686,0.0507,0.0735
161,161.0,0.894385021289272,0.5094,0.0,0.36719999999999997,0.048799999999999996,0.0746
162,162.0,0.8953632790546918,0.5103,0.0,0.3667,0.0481,0.07490000000000001
163,163.0,0.8956146541525354,0.5133,0.0,0.3641,0.0462,0.0764
164,164.0,0.8947054592441818,0.5123,0.0,0.365,0.047299999999999995,0.0754
165,165.0,0.8963422088471361,0.5099,0.0,0.36369999999999997,0.0496,0.0768
166,166.0,0.8957427464829759,0.5099,0.0,0.363,0.049400000000000006,0.07769999999999999
167,167.0,0.8967531699785657,0.5111,0.0,0.3613,0.048600000000000004,0.079
168,168.0,0.8954349848132831,0.5105,0.0,0.3617,0.0484,0.0794
169,169.0,0.8950677216040198,0.5097,0.0,0.3617,0.0493,0.0793
170,170.0,0.8967764897264976,0.5097,0.0,0.361,0.0508,0.0785
171,171.0,0.8964952250703381,0.5106,0.0,0.36,0.0506,0.0788
172,172.0,0.8962397429125695,0.5105,0.0,0.3592,0.05140000000000001,0.07890000000000001
173,173.0,0.8967248876015245,0.5108,0.0,0.35869999999999996,0.05140000000000001,0.0791
174,174.0,0.8975493954809824,0.5115999999999999,0.0,0.3574,0.0509,0.0801
175,175.0,0.8959568652541552,0.5127,0.0,0.35609999999999997,0.049800000000000004,0.0814
176,176.0,0.8965102514724939,0.5127,0.0,0.35509999999999997,0.0501,0.08209999999999999
177,177.0,0.8968328269642981,0.5145000000000001,0.0,0.354,0.048600000000000004,0.08289999999999999
178,178.0,0.8971183621340424,0.5147999999999999,0.0,0.3521,0.0487,0.08439999999999999
179,179.0,0.8976053405038571,0.5153,0.0,0.35229999999999995,0.048499999999999995,0.0839
180,180.0,0.8981741000146536,0.5141,0.0,0.35119999999999996,0.0508,0.0839
181,181.0,0.8979830195171185,0.5139,0.0,0.3508,0.051699999999999996,0.0836
182,182.0,0.8978064467253378,0.5151,0.0,0.3496,0.051699999999999996,0.0836
183,183.0,0.8979899918028774,0.5184000000000001,0.0,0.34700000000000003,0.050199999999999995,0.08439999999999999
184,184.0,0.8979315673288742,0.5172,0.0,0.3471,0.051,0.08470000000000001
185,185.0,0.8982888436406945,0.518,0.0,0.3454,0.0518,0.0848
186,186.0,0.8987592045330821,0.5177,0.0,0.34490000000000004,0.053899999999999997,0.08349999999999999
187,187.0,0.8998446710366619,0.5207999999999999,0.0,0.34240000000000004,0.051399999999999994,0.08539999999999999
188,188.0,0.8986145120898682,0.5177,0.0,0.3397,0.0552,0.0874
189,189.0,0.9006921330351279,0.5184000000000001,0.0,0.3392,0.0547,0.0877
190,190.0,0.9011942853522664,0.5174,0.0,0.3393,0.056600000000000004,0.0867
191,191.0,0.8995473321218482,0.5169,0.0,0.3398,0.0565,0.0868
192,192.0,0.9017396439391431,0.5191,0.0,0.3369,0.0553,0.08869999999999999
193,193.0,0.901272003112711,0.5212,0.0,0.3369,0.0547,0.0872
194,194.0,0.9005937685344189,0.5207,0.0,0.3372,0.054799999999999995,0.0873
195,195.0,0.9013671945447213,0.5242,0.0,0.33630000000000004,0.051100000000000007,0.08839999999999999
196,196.0,0.9009258677735736,0.526,0.0,0.33659999999999995,0.0495,0.08789999999999999
197,197.0,0.9009175504726745,0.5239,0.0,0.3353,0.0529,0.08789999999999999
198,198.0,0.900835991522933,0.5246999999999999,0.0,0.3337,0.053,0.0886
199,199.0,0.6555666666666664,0.521,0.0,0.33409999999999995,0.0567,0.0882
200,200.0,0.6576985657331325,0.5199,0.0,0.3347,0.0576,0.08779999999999999
201,201.0,0.6588351063686911,0.5179,0.0,0.335,0.0584,0.08869999999999999
202,202.0,0.6598926219336707,0.5144,0.0,0.3381,0.0599,0.0876
203,203.0,0.6651990447839745,0.5121,0.0,0.3408,0.0594,0.0877
204,204.0,0.6666885247223892,0.5075999999999999,0.0,0.34340000000000004,0.0603,0.08869999999999999
205,205.0,0.6725212349554626,0.4988,0.0,0.35109999999999997,0.0635,0.0866
206,206.0,0.6752193311045115,0.4925,0.0,0.35729999999999995,0.0638,0.0864
207,207.0,0.6841493143465236,0.4819,0.0,0.36869999999999997,0.06390000000000001,0.0855
208,208.0,0.686573340848865,0.4758,0.0,0.376,0.061900000000000004,0.08629999999999999
209,209.0,0.6892066473230346,0.4656,0.0,0.3851,0.0622,0.08710000000000001
210,210.0,0.6959747051098772,0.4547,0.0,0.39549999999999996,0.0635,0.0863
211,211.0,0.7058849737955264,0.4396,0.0,0.41090000000000004,0.0632,0.0863
212,212.0,0.7105285979861007,0.43060000000000004,0.0,0.4202,0.0633,0.0859
213,213.0,0.716226076236307,0.41979999999999995,0.0,0.4301,0.0636,0.08650000000000001
214,214.0,0.7222849131610958,0.4109,0.0,0.4421,0.061200000000000004,0.0858
215,215.0,0.7250487742531924,0.40509999999999996,0.0,0.4496,0.0583,0.087
216,216.0,0.7299254182208036,0.3985,0.0,0.4582,0.056400000000000006,0.08689999999999999
217,217.0,0.7344704951824613,0.3932,0.0,0.46549999999999997,0.0535,0.08779999999999999
218,218.0,0.735714929616134,0.38530000000000003,0.0001,0.4732,0.052700000000000004,0.08879999999999999
219,219.0,0.7413439701234593,0.3764,0.0002,0.4815,0.051500000000000004,0.0906
220,220.0,0.7445143243235514,0.3714,0.0,0.4861,0.049400000000000006,0.0931
221,221.0,0.7476045922293025,0.3643,0.0,0.494,0.0482,0.0935
222,222.0,0.7531444659082246,0.36060000000000003,0.0,0.4971,0.0475,0.09480000000000001
223,223.0,0.7527441547963177,0.35839999999999994,0.0,0.4999,0.0461,0.0956
224,224.0,0.753762718147028,0.3554,0.0,0.5034000000000001,0.045,0.09620000000000001
225,225.0,0.7555584426842975,0.3489,0.0,0.508,0.0463,0.0968
226,226.0,0.7576876262465829,0.34759999999999996,0.0001,0.5101,0.044199999999999996,0.0981
227,227.0,0.7613910774935171,0.34450000000000003,0.0,0.5133,0.0453,0.0969
228,228.0,0.7603477489739725,0.34380000000000005,0.0,0.5142,0.0453,0.0967
229,229.0,0.7600528557242394,0.3446,0.0,0.5152,0.0437,0.0965
230,230.0,0.7605264204123194,0.3408,0.0,0.5182,0.0455,0.0955
231,231.0,0.7632066848211412,0.3383,0.0,0.5195000000000001,0.0466,0.0956
232,232.0,0.762139282964161,0.3357,0.0,0.5199,0.0496,0.09480000000000001
233,233.0,0.7639483989719583,0.3318,0.0,0.5236,0.052199999999999996,0.0924
234,234.0,0.7674539049667595,0.3301,0.0,0.5246,0.052300000000000006,0.09299999999999999
235,235.0,0.7700399945985346,0.3268,0.0,0.5275,0.0536,0.09209999999999999
236,236.0,0.7696071057674837,0.3243,0.0,0.5305,0.0542,0.091
237,237.0,0.7729095931023405,0.32049999999999995,0.0,0.5351,0.0545,0.08990000000000001
238,238.0,0.770007937150292,0.3161,0.0,0.5392,0.0558,0.0889
239,239.0,0.7734604190424912,0.31329999999999997,0.0002,0.5428000000000001,0.0546,0.08929999999999999
240,240.0,0.7744705440928884,0.3128,0.0002,0.5437,0.0537,0.0898
241,241.0,0.7762278214674093,0.31170000000000003,0.0,0.5435,0.054299999999999994,0.09049999999999998
242,242.0,0.7767929612946571,0.3107,0.0,0.544,0.0552,0.0901
243,243.0,0.7788766226803661,0.3091,0.0,0.5451999999999999,0.0541,0.0916
244,244.0,0.7773668208997134,0.3073,0.0,0.547,0.0545,0.09119999999999999
245,245.0,0.7804909960442207,0.3071,0.0,0.5472,0.0537,0.092
246,246.0,0.7827730209912506,0.3055,0.0,0.5497,0.053200000000000004,0.0916
247,247.0,0.782534144417522,0.3031,0.0,0.5513,0.0545,0.0911
248,248.0,0.7843893894357453,0.30269999999999997,0.0,0.5521,0.053200000000000004,0.092
