,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.5844734060553722,1.0,0.0,0.0,0.0,0.0
1,0.5975522006079388,0.88,0.0,0.09,0.03,0.0
2,0.5966171989602806,0.8,0.0,0.14,0.05,0.01
3,0.6079016662048808,0.74,0.0,0.18,0.06,0.02
4,0.6181503627540745,0.74,0.0,0.13,0.08,0.05
5,0.6221758275764878,0.71,0.0,0.16,0.07,0.06
6,0.6606772433202636,0.62,0.0,0.26,0.06,0.06
7,0.6581993641816537,0.57,0.0,0.3,0.08,0.05
8,0.6517537179686732,0.59,0.0,0.29,0.07,0.05
9,0.708272397334195,0.52,0.0,0.36,0.05,0.07
10,0.6960735646966697,0.39,0.0,0.47,0.03,0.11
11,0.7313043393497257,0.27,0.0,0.56,0.02,0.15
12,0.7396320774304312,0.2,0.0,0.59,0.03,0.18
13,0.7631135353607499,0.2,0.0,0.6,0.05,0.15
14,0.7515329468922759,0.2,0.0,0.57,0.08,0.15
15,0.7879687092826048,0.27,0.0,0.51,0.03,0.19
16,0.7828364726986243,0.33,0.01,0.48,0.04,0.15
17,0.8246866521111998,0.32,0.01,0.41,0.08,0.19
18,0.8056193929901309,0.4,0.0,0.37,0.08,0.15
19,0.833646744221887,0.43,0.0,0.41,0.06,0.1
20,0.8268701834803402,0.48,0.01,0.32,0.08,0.12
21,0.8813561349573911,0.5,0.0,0.31,0.07,0.12
22,0.8732154535248378,0.53,0.0,0.26,0.07,0.14
23,0.881538618209367,0.51,0.01,0.28,0.06,0.15
24,0.8605292790409649,0.48,0.03,0.32,0.08,0.12
25,0.8717233173084346,0.46,0.04,0.25,0.12,0.17
26,0.8807932752645948,0.51,0.01,0.23,0.06,0.2
27,0.8617838274974425,0.58,0.02,0.16,0.09,0.17
28,0.884443357471431,0.65,0.0,0.13,0.09,0.13
29,0.8795319170952479,0.69,0.01,0.12,0.06,0.13
30,0.8998310422288445,0.66,0.02,0.15,0.09,0.1
31,0.8997513427520457,0.55,0.03,0.24,0.08,0.13
32,0.8931993613942424,0.52,0.01,0.32,0.04,0.12
33,0.9187801892879486,0.6,0.02,0.29,0.05,0.06
34,0.907477899760499,0.51,0.03,0.39,0.06,0.04
35,0.903774849135369,0.45,0.0,0.39,0.1,0.06
36,0.9075831654779085,0.48,0.0,0.4,0.1,0.02
37,0.8949642772267165,0.47,0.0,0.37,0.13,0.03
38,0.8942243343050654,0.47,0.0,0.43,0.09,0.01
39,0.9111667582962382,0.49,0.0,0.43,0.05,0.03
40,0.9060030837662818,0.42,0.0,0.46,0.08,0.04
41,0.9070470018093184,0.37,0.0,0.44,0.08,0.11
42,0.8810094395391715,0.3,0.01,0.39,0.08,0.23
43,0.8659749680979951,0.35,0.02,0.33,0.11,0.21
44,0.8519026672507681,0.29,0.01,0.35,0.13,0.23
45,0.8886805578719422,0.28,0.0,0.4,0.08,0.24
46,0.8892750427903162,0.34,0.0,0.37,0.05,0.24
47,0.8902104249327067,0.28,0.0,0.37,0.06,0.29
48,0.8857880039689582,0.29,0.0,0.33,0.06,0.32
49,0.870048843791453,0.31,0.0,0.35,0.04,0.3
50,0.8721927744440798,0.32,0.0,0.31,0.04,0.33
51,0.8988429252421711,0.3,0.0,0.39,0.03,0.28
52,0.8753097440197618,0.3,0.0,0.34,0.04,0.32
