,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.4675982975657028,1.0,0.0,0.0,0.0,0.0
1,0.49017613942564425,0.94,0.0,0.04,0.01,0.01
2,0.490996153732264,0.86,0.0,0.07,0.06,0.01
3,0.4898725945383097,0.79,0.0,0.11,0.09,0.01
4,0.522524403156019,0.74,0.0,0.15,0.07,0.04
5,0.5860641483153948,0.59,0.0,0.27,0.07,0.07
6,0.6084685621497207,0.49,0.0,0.38,0.07,0.06
7,0.6383262930497766,0.42,0.0,0.43,0.06,0.09
8,0.6792272860822018,0.29,0.0,0.54,0.08,0.09
9,0.7034005250378337,0.24,0.0,0.55,0.06,0.15
10,0.7372503749622656,0.19,0.0,0.62,0.03,0.16
11,0.7808272346585815,0.19,0.0,0.66,0.03,0.12
12,0.7778405463229869,0.19,0.0,0.65,0.04,0.12
13,0.7817922970348731,0.19,0.0,0.65,0.07,0.09
14,0.8268554998543319,0.13,0.0,0.67,0.07,0.13
15,0.8287844470407909,0.12,0.0,0.7,0.07,0.11
16,0.8417842121938766,0.11,0.0,0.74,0.09,0.06
17,0.861858796179182,0.11,0.0,0.73,0.09,0.07
18,0.8692134145144169,0.11,0.0,0.76,0.09,0.04
19,0.893900546484145,0.07,0.0,0.8,0.1,0.03
20,0.9101928459546603,0.02,0.0,0.89,0.07,0.02
21,0.9199488766123177,0.03,0.0,0.9,0.04,0.03
22,0.928330882086847,0.03,0.0,0.91,0.02,0.04
23,0.9251060111694603,0.02,0.0,0.89,0.02,0.07
24,0.8962655880637778,0.01,0.0,0.85,0.01,0.13
25,0.9069442043915926,0.0,0.0,0.89,0.0,0.11
26,0.9042417806208987,0.0,0.0,0.89,0.0,0.11
27,0.9186578942394692,0.0,0.0,0.91,0.0,0.09
28,0.9265459264550128,0.0,0.0,0.89,0.01,0.1
29,0.9187508273978341,0.02,0.0,0.87,0.0,0.11
30,0.9192488546120632,0.02,0.0,0.86,0.0,0.12
31,0.9482505138210072,0.01,0.0,0.9,0.01,0.08
32,0.9373808851774512,0.01,0.0,0.89,0.0,0.1
33,0.9423091263433754,0.03,0.0,0.9,0.0,0.07
34,0.9352374141054915,0.04,0.0,0.87,0.0,0.09
35,0.9525060577536572,0.0,0.0,0.91,0.0,0.09
36,0.937967529465526,0.0,0.0,0.92,0.0,0.08
37,0.9530024347212945,0.0,0.0,0.94,0.0,0.06
38,0.9608942861871627,0.0,0.0,0.93,0.0,0.07
39,0.9503483574670811,0.0,0.0,0.93,0.0,0.07
40,0.9444372956457713,0.01,0.0,0.9,0.0,0.09
41,0.9668717554103999,0.02,0.0,0.94,0.0,0.04
42,0.9631264884236346,0.02,0.0,0.93,0.0,0.05
43,0.9546881384985302,0.0,0.0,0.92,0.0,0.08
44,0.9351502088067362,0.02,0.0,0.88,0.01,0.09
45,0.93658725462567,0.02,0.0,0.87,0.0,0.11
46,0.948478827642455,0.01,0.0,0.9,0.0,0.09
47,0.9381809100595924,0.0,0.0,0.88,0.01,0.11
48,0.9323805589468439,0.01,0.0,0.88,0.0,0.11
49,0.9437445506228775,0.02,0.0,0.89,0.0,0.09
50,0.9526446548389432,0.01,0.0,0.88,0.0,0.11
51,0.9396361468702071,0.01,0.0,0.85,0.0,0.14
52,0.9452467914488326,0.0,0.0,0.91,0.0,0.09
53,0.970743595826753,0.0,0.0,0.95,0.0,0.05
54,0.9649801120670815,0.01,0.0,0.94,0.0,0.05
55,0.9739237746964148,0.02,0.0,0.94,0.0,0.04
56,0.9425673534796362,0.01,0.0,0.97,0.0,0.02
57,0.9476832404530291,0.02,0.0,0.96,0.0,0.02
58,0.9401637542765223,0.03,0.0,0.91,0.01,0.05
59,0.9200998995427595,0.05,0.0,0.87,0.01,0.07
60,0.9300575967580171,0.07,0.0,0.86,0.01,0.06
61,0.9357057721112626,0.08,0.0,0.86,0.0,0.06
62,0.9489455354650957,0.04,0.0,0.89,0.0,0.07
63,0.9349552677378425,0.01,0.0,0.92,0.0,0.07
64,0.9364965141921018,0.01,0.0,0.93,0.0,0.06
65,0.9680208675102991,0.0,0.0,0.94,0.0,0.06
66,0.9485225238517259,0.0,0.0,0.92,0.0,0.08
67,0.9305795757064053,0.0,0.0,0.87,0.0,0.13
68,0.9514930731619335,0.01,0.0,0.9,0.0,0.09
69,0.9406687615042442,0.0,0.0,0.91,0.0,0.09
70,0.9367567288973306,0.0,0.0,0.87,0.0,0.13
71,0.9370069509229695,0.01,0.0,0.87,0.0,0.12
72,0.9275317871833478,0.0,0.0,0.84,0.0,0.16
73,0.9280716742623184,0.0,0.0,0.84,0.0,0.16
74,0.9190737606715745,0.01,0.0,0.84,0.01,0.14
75,0.9441602850959222,0.01,0.0,0.82,0.01,0.16
76,0.919089212348353,0.0,0.0,0.77,0.0,0.23
77,0.9331632340579945,0.0,0.0,0.8,0.0,0.2
78,0.9406197936571994,0.0,0.0,0.85,0.0,0.15
79,0.9509299705858706,0.0,0.0,0.89,0.0,0.11
80,0.9661519186640899,0.0,0.0,0.89,0.0,0.11
81,0.9379127481897994,0.0,0.0,0.85,0.0,0.15
82,0.9386324365424022,0.0,0.0,0.89,0.0,0.11
83,0.9552931185322838,0.0,0.0,0.9,0.0,0.1
84,0.9821194755715092,0.0,0.0,0.96,0.0,0.04
85,0.9641853304144486,0.01,0.0,0.95,0.0,0.04
86,0.9744689654262164,0.0,0.0,0.96,0.0,0.04
87,0.9445230194753098,0.0,0.0,0.94,0.0,0.06
88,0.9608909431837469,0.0,0.0,0.94,0.0,0.06
89,0.945035194053046,0.02,0.0,0.91,0.0,0.07
90,0.9476875292408714,0.03,0.0,0.88,0.01,0.08
91,0.9337591974724514,0.04,0.0,0.86,0.03,0.07
92,0.9340780777622583,0.02,0.0,0.87,0.01,0.1
93,0.965144037989897,0.03,0.0,0.9,0.0,0.07
94,0.9531971316172032,0.03,0.0,0.87,0.01,0.09
95,0.9156614755091862,0.03,0.0,0.85,0.0,0.12
96,0.9355022851636707,0.02,0.0,0.9,0.0,0.08
97,0.9516386173935203,0.0,0.0,0.89,0.0,0.11
98,0.9484678511601836,0.0,0.0,0.88,0.0,0.12
99,0.39499999999999974,0.0,0.0,0.92,0.0,0.08
100,0.4583333333333332,0.0,0.0,0.88,0.0,0.12
101,0.525,0.0,0.0,0.82,0.0,0.18
102,0.5816666666666667,0.0,0.0,0.65,0.0,0.35
103,0.6346685594521542,0.0,0.0,0.62,0.0,0.38
104,0.6683333333333336,0.0,0.0,0.62,0.0,0.38
105,0.6650000000000006,0.01,0.0,0.64,0.0,0.35
106,0.6933333333333336,0.02,0.0,0.6,0.0,0.38
107,0.7331899639521642,0.01,0.0,0.56,0.0,0.43
108,0.7440676313195695,0.0,0.0,0.65,0.0,0.35
109,0.7776918087741913,0.0,0.0,0.55,0.0,0.45
110,0.7928542218464439,0.0,0.0,0.55,0.0,0.45
111,0.7988535795711769,0.0,0.0,0.45,0.0,0.55
112,0.8016150279905268,0.01,0.0,0.45,0.0,0.54
113,0.7615810459673097,0.01,0.0,0.38,0.0,0.61
114,0.7814098045685953,0.01,0.0,0.44,0.0,0.55
115,0.7647431379019288,0.01,0.0,0.41,0.0,0.58
116,0.7881072948577997,0.0,0.0,0.45,0.0,0.55
117,0.7848627406245035,0.0,0.0,0.45,0.0,0.55
118,0.8017774410627796,0.0,0.0,0.46,0.0,0.54
119,0.7995718965032146,0.0,0.0,0.44,0.0,0.56
120,0.8045718965032145,0.0,0.0,0.46,0.0,0.54
121,0.7877339884378343,0.0,0.0,0.55,0.01,0.44
122,0.7911957528202026,0.0,0.0,0.64,0.01,0.35
123,0.7878046708050574,0.01,0.0,0.61,0.01,0.37
124,0.7928624194868696,0.02,0.0,0.58,0.0,0.4
