,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.407297306832058,1.0,0.0,0.0,0.0,0.0
1,0.49800994269876525,0.92,0.0,0.06,0.01,0.01
2,0.5124853529783513,0.85,0.0,0.09,0.02,0.04
3,0.5441953026336237,0.8,0.0,0.11,0.03,0.06
4,0.5788546637894243,0.8,0.0,0.08,0.05,0.07
5,0.6467452830147128,0.77,0.0,0.1,0.04,0.09
6,0.7002714227725493,0.73,0.0,0.2,0.03,0.04
7,0.7648407410255852,0.66,0.0,0.25,0.03,0.06
8,0.7899579319768137,0.62,0.01,0.27,0.03,0.08
9,0.8140954009082627,0.61,0.03,0.27,0.02,0.1
10,0.7924084385903679,0.52,0.04,0.33,0.07,0.08
11,0.795980052111184,0.47,0.06,0.36,0.07,0.1
12,0.8140548789533245,0.34,0.01,0.4,0.09,0.17
13,0.8032049182096148,0.33,0.0,0.42,0.13,0.12
14,0.8283441501308427,0.35,0.0,0.41,0.09,0.15
15,0.8223553188333251,0.43,0.0,0.37,0.06,0.14
16,0.8281011300812307,0.45,0.0,0.37,0.03,0.15
17,0.8555327213229116,0.49,0.0,0.33,0.02,0.16
18,0.8321290957048234,0.45,0.0,0.34,0.04,0.17
19,0.8207392772723492,0.44,0.0,0.4,0.04,0.12
20,0.8455487686458949,0.46,0.0,0.43,0.01,0.1
21,0.8713965643277446,0.43,0.0,0.46,0.02,0.09
22,0.8820301466378523,0.52,0.01,0.39,0.03,0.06
23,0.8612126381963445,0.52,0.01,0.33,0.08,0.07
24,0.8652130316783593,0.47,0.0,0.41,0.06,0.06
25,0.8500704393675491,0.39,0.0,0.44,0.07,0.1
26,0.84848070456172,0.33,0.0,0.49,0.07,0.11
27,0.8402662991630346,0.27,0.0,0.54,0.06,0.13
28,0.8760255800280744,0.24,0.0,0.55,0.03,0.18
29,0.8552327174851844,0.28,0.0,0.49,0.02,0.21
30,0.8770659239419498,0.23,0.0,0.52,0.02,0.23
31,0.8678480771969516,0.17,0.0,0.55,0.0,0.28
32,0.8459282578542567,0.2,0.0,0.52,0.01,0.27
33,0.8656056849682219,0.26,0.0,0.48,0.01,0.25
34,0.8511088952153456,0.27,0.0,0.45,0.02,0.26
35,0.8592299606320042,0.29,0.0,0.45,0.01,0.25
36,0.8873924132306732,0.3,0.0,0.46,0.02,0.22
37,0.8929714542747391,0.21,0.0,0.47,0.02,0.3
38,0.8895030713685833,0.19,0.0,0.53,0.02,0.26
39,0.8849203531083955,0.19,0.0,0.51,0.04,0.26
40,0.8727879999381607,0.13,0.0,0.46,0.05,0.36
41,0.8876841937321486,0.09,0.0,0.47,0.06,0.38
42,0.8608151654736399,0.08,0.0,0.41,0.05,0.46
43,0.8929527247203741,0.12,0.0,0.34,0.04,0.5
44,0.47500000000000037,0.1,0.0,0.29,0.03,0.58
45,0.5616666666666671,0.13,0.0,0.24,0.09,0.54
46,0.6233333333333336,0.21,0.0,0.23,0.11,0.45
47,0.7416666666666667,0.29,0.0,0.21,0.18,0.32
48,0.8266666666666667,0.31,0.01,0.22,0.28,0.19
49,0.8649999999999999,0.38,0.02,0.19,0.29,0.14
50,0.8633333333333333,0.37,0.01,0.22,0.33,0.08
51,0.9049999999999998,0.44,0.01,0.18,0.33,0.05
52,0.9183333333333333,0.44,0.01,0.2,0.3,0.06
