,meanfitness,meanprobs0seqscom,meanprobs1seqscom,meanprobs0,meanprobs1,alphalist
5995,0.9743056294347258,0.23314352281924008,0.30418261844158634,0.23202254413501344,0.31672031451215,0.0575
5996,0.9754158954306342,0.23255697974968792,0.3043591234137224,0.23162450804294885,0.3167996392996997,0.0585
5997,0.9756221226210026,0.2315535463476609,0.30454066965667925,0.23107054152064413,0.31857625161497377,0.058899999999999994
5998,0.9754188960084191,0.23229235682510815,0.3038754821698454,0.23110595958617364,0.31755684385478566,0.0562
5999,0.9336,0.23181198218959778,0.3037413253695436,0.23119450591936744,0.3172579921867574,0.056799999999999996
6000,0.9416625048936683,0.2333830442519914,0.3024759463057813,0.23294174193075123,0.31357731927017524,0.05600000000000001
6001,0.9482560984212596,0.23450423284146385,0.30124778297117283,0.23414547667728564,0.3095104186256673,0.0583
6002,0.9523051199973299,0.23603080632941822,0.30041735714458095,0.23603291504401644,0.3067200267686635,0.0571
6003,0.9562844456287388,0.2368220616215564,0.30002577522139806,0.23812842741489393,0.30511166843634535,0.0574
6004,0.9580181199411177,0.23809700515983998,0.29946193203052,0.23981186808838972,0.30376624982453587,0.056900000000000006
6005,0.9596225897599078,0.23834651267390836,0.2990640295273719,0.2415432212449829,0.3028032063439948,0.0565
6006,0.9614460023006315,0.2379023452473594,0.2987979366483243,0.24135223281998022,0.3026852159139611,0.057
6007,0.9624789971001225,0.23970310696514208,0.2981065998040162,0.24343617667489476,0.30198639078390527,0.056100000000000004
6008,0.9633404594169036,0.24058390528903892,0.2972569973744768,0.24541734575996693,0.30094990936255095,0.0565
6009,0.9631059274230509,0.24105395000858942,0.2965223631087356,0.24598754241801182,0.300446070540369,0.0604
6010,0.9651025576967307,0.2410786712866405,0.29609132761754964,0.24648914797784494,0.2998255755095768,0.059500000000000004
6011,0.9652724621530728,0.24141750577864587,0.29601480038092387,0.24616463033852423,0.2992814941272059,0.0562
6012,0.9655900407779175,0.24202090171386206,0.2957369620222708,0.24722278221389665,0.29880861867740405,0.056900000000000006
6013,0.9663883345837436,0.24246855867337494,0.29482635936643115,0.24869981931220814,0.29804392880259695,0.056900000000000006
6014,0.9664906100775161,0.24314356450817712,0.2942926526035177,0.2496716237812734,0.2972235869680232,0.055200000000000006
6015,0.9671084941373972,0.24315762473160116,0.293546578465917,0.2506745406280682,0.2961430300788716,0.056900000000000006
6016,0.967127247063068,0.2436434175804331,0.2924734456104316,0.25194530417740263,0.2957916209709074,0.060200000000000004
6017,0.9681163572962203,0.2439584716409244,0.2924889437325859,0.25247861512529957,0.29592193261885297,0.0576
6018,0.9682428768563198,0.24435413895766903,0.29122373652636985,0.25336218965050594,0.2944745593407107,0.0575
6019,0.969673988019227,0.24448824170031802,0.2911115727659385,0.2535468076641635,0.29394546178259995,0.056299999999999996
6020,0.968054935896124,0.24450195943497866,0.2913360559119662,0.2542085354106589,0.2940176734643247,0.0579
6021,0.9690778656799034,0.24485768355545745,0.29034153151526226,0.25433732898811273,0.2936828076039562,0.0605
6022,0.9683100938657323,0.2455304487312037,0.28976807724765624,0.25482514345283547,0.29235723507249695,0.0587
6023,0.969707213507803,0.2455705010501096,0.2894476864252579,0.254872833915644,0.2914578745113945,0.0582
6024,0.9230499999999999,0.24516886445808775,0.28989721725051265,0.2546032622142507,0.29260412194005125,0.0604
6025,0.9398762146493245,0.2431584423820297,0.2939142636218402,0.24947373147133622,0.29633660737859696,0.0577
6026,0.9558730475426026,0.2417666414614289,0.29687927734152153,0.2459323793363934,0.29992928971050614,0.054299999999999994
6027,0.9620801268656618,0.24164562731405934,0.2979369276684566,0.2446069315044932,0.3014334809904401,0.0548
6028,0.9645774259028412,0.24110886970340595,0.29854305259540165,0.24321765650422097,0.30258079023654993,0.0538
6029,0.9669147339220804,0.24061599453393265,0.2993601691139407,0.242193953178223,0.3040935179279731,0.053200000000000004
6030,0.9694138315482624,0.2402552471689288,0.300022433974735,0.2411103326401225,0.30562094447778176,0.05140000000000001
6031,0.9713041138154191,0.23945535100560492,0.3006748711341878,0.24016456342980988,0.30686185191777243,0.050499999999999996
6032,0.9735106826473539,0.2387304480355248,0.301294671504224,0.23928419993651237,0.3080504129634489,0.0507
6033,0.9727933318148625,0.23718636019167152,0.30263366737935166,0.23728390613609376,0.31012814230800834,0.051500000000000004
6034,0.9756430029526508,0.23618346418374817,0.303586059675008,0.2361546079469415,0.3117131125420488,0.0548
6035,0.9749767017828712,0.23589158472687588,0.3043314607076588,0.23596401638536732,0.31311417690105336,0.0559
6036,0.9750663752996962,0.23613303520055984,0.30451761349402534,0.23642355326396058,0.3142167962979831,0.0562
6037,0.9754702775865048,0.2356048819842047,0.3038141136248652,0.235670861764731,0.3139551597700237,0.055600000000000004
6038,0.9741053771329925,0.2350657783828014,0.3037646063824558,0.2349471247191262,0.3147150254692915,0.054299999999999994
6039,0.974090807902945,0.2343656842572572,0.3043557392219077,0.23468755774558883,0.31554855263455106,0.054400000000000004
6040,0.9752180591397416,0.233928896630803,0.3047422834911803,0.23408688551841106,0.31596378102684636,0.054400000000000004
6041,0.9757651040066826,0.23355950265232983,0.30484122013956055,0.2337144814751328,0.3155004627897782,0.0546
6042,0.9767395286418998,0.234345442639772,0.3055635366001427,0.23442113283773958,0.315915238233445,0.0547
6043,0.975590888996649,0.23385885910278637,0.30695622250771853,0.2339677152014581,0.3161547164162909,0.0547
6044,0.9746318556815676,0.23300288136461308,0.30850240039427423,0.23351220735010572,0.31797873635607543,0.0559
6045,0.9760444532668251,0.23201611689255716,0.3091384187846797,0.23247511929479267,0.31921041669600564,0.0558
6046,0.9763527918042868,0.22840068790519277,0.3148487042000849,0.23083100583566438,0.32036515458036957,0.0555
6047,0.9753437479254553,0.22771329018195935,0.3156427256545091,0.23053695935537338,0.32266078260468345,0.055200000000000006
6048,0.9747820444334974,0.2268583552619203,0.3162153798685212,0.22919206392319183,0.32285850278456707,0.0579
6049,0.9354833333333333,0.22701707715141625,0.3168578261993224,0.22909902893045087,0.32404703352939757,0.0557
6050,0.9447106315150623,0.22976734571267113,0.3124120961425999,0.23208409817540307,0.31652554470987154,0.057800000000000004
6051,0.9529893203464777,0.23294940856755722,0.3083147804738963,0.23558884575472916,0.3109143452721088,0.0574
6052,0.9549850309950605,0.23455024022168325,0.3067654742906846,0.23783697041508478,0.30853354958639545,0.0572
