,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.4316414171093294,1.0,0.0,0.0,0.0,0.0
1,0.44028441952319397,0.95,0.0,0.02,0.03,0.0
2,0.47567187392983196,0.86,0.0,0.08,0.05,0.01
3,0.47578132182749217,0.71,0.0,0.18,0.08,0.03
4,0.5140449685754981,0.61,0.0,0.27,0.08,0.04
5,0.5162419173114557,0.52,0.0,0.35,0.1,0.03
6,0.5995667319383197,0.33,0.0,0.46,0.15,0.06
7,0.6165223838918085,0.27,0.0,0.47,0.14,0.12
8,0.6530176198549255,0.2,0.0,0.52,0.1,0.18
9,0.6957658414438553,0.18,0.0,0.51,0.04,0.27
10,0.6889357087182824,0.12,0.0,0.55,0.05,0.28
11,0.7206888548184994,0.11,0.0,0.54,0.06,0.29
12,0.7275480587386065,0.12,0.0,0.54,0.02,0.32
13,0.7263623970072791,0.12,0.0,0.46,0.01,0.41
14,0.7558570893997357,0.06,0.0,0.4,0.01,0.53
15,0.7452266011141832,0.09,0.0,0.42,0.03,0.46
16,0.7755258574881768,0.07,0.0,0.48,0.0,0.45
17,0.7746491517208013,0.05,0.0,0.56,0.0,0.39
18,0.7671494097844667,0.06,0.0,0.57,0.0,0.37
19,0.7944300204236306,0.04,0.0,0.59,0.0,0.37
20,0.7734490723362865,0.02,0.0,0.6,0.01,0.37
21,0.7804289146927178,0.04,0.0,0.6,0.04,0.32
22,0.7948464257200911,0.05,0.0,0.58,0.01,0.36
23,0.765550480962568,0.07,0.0,0.61,0.01,0.31
24,0.7183333333333336,0.05,0.0,0.65,0.0,0.3
25,0.7216666666666669,0.04,0.0,0.66,0.0,0.3
26,0.7616666666666666,0.07,0.0,0.62,0.0,0.31
27,0.7583104334284124,0.09,0.0,0.6,0.0,0.31
28,0.7916208668568241,0.17,0.0,0.47,0.0,0.36
29,0.8011820735203504,0.21,0.0,0.42,0.01,0.36
30,0.8335258192212109,0.25,0.0,0.34,0.05,0.36
31,0.8357661800887973,0.24,0.0,0.33,0.07,0.36
32,0.8476711324531838,0.18,0.0,0.32,0.12,0.38
33,0.8518029756156943,0.2,0.0,0.33,0.11,0.36
34,0.8688397359040718,0.2,0.0,0.25,0.17,0.38
35,0.8947765924563243,0.23,0.0,0.24,0.21,0.32
36,0.9002153857927985,0.17,0.0,0.23,0.33,0.27
37,0.8685029193162894,0.2,0.0,0.23,0.29,0.28
38,0.8785352490566697,0.2,0.0,0.28,0.28,0.24
39,0.8899771000950787,0.21,0.0,0.3,0.33,0.16
40,0.9052800452735584,0.32,0.01,0.28,0.28,0.12
41,0.9197401476147314,0.26,0.03,0.25,0.34,0.15
42,0.9090252905215717,0.28,0.05,0.23,0.35,0.14
43,0.9459531427908794,0.38,0.1,0.12,0.36,0.14
44,0.9564297141863194,0.39,0.11,0.09,0.39,0.13
45,0.9235729522484256,0.33,0.07,0.1,0.38,0.19
46,0.9364297141863193,0.29,0.05,0.09,0.46,0.16
47,0.9414297141863192,0.29,0.01,0.06,0.48,0.17
48,0.9569062855817592,0.24,0.0,0.03,0.56,0.17
49,0.5599999999999995,0.23,0.0,0.0,0.58,0.19
50,0.5249999999999997,0.23,0.0,0.02,0.47,0.28
51,0.6133333333333325,0.26,0.0,0.03,0.38,0.33
52,0.6299999999999993,0.26,0.0,0.04,0.38,0.32
53,0.6399999999999993,0.19,0.0,0.05,0.36,0.4
54,0.715,0.22,0.0,0.07,0.26,0.45
55,0.6983333333333331,0.23,0.0,0.13,0.25,0.39
56,0.7270408197367432,0.19,0.0,0.21,0.2,0.4
57,0.7642638980610874,0.23,0.0,0.27,0.17,0.33
58,0.8035277961221747,0.21,0.0,0.37,0.14,0.28
59,0.7985277961221751,0.2,0.0,0.47,0.07,0.26
60,0.8211250275165957,0.14,0.0,0.52,0.08,0.26
61,0.8333424618974103,0.1,0.0,0.59,0.06,0.25
62,0.8632282620564077,0.1,0.0,0.66,0.07,0.17
63,0.8539564078974428,0.07,0.0,0.67,0.09,0.17
64,0.8804365678731453,0.07,0.0,0.71,0.13,0.09
65,0.8731479991085683,0.09,0.0,0.68,0.11,0.12
66,0.8950000000000001,0.08,0.0,0.75,0.05,0.12
67,0.8907344104687147,0.08,0.0,0.71,0.03,0.18
68,0.8829535363197271,0.07,0.0,0.69,0.04,0.2
69,0.8987222589110163,0.09,0.0,0.71,0.01,0.19
70,0.8920555922443498,0.08,0.0,0.67,0.0,0.25
71,0.8686896382586394,0.1,0.0,0.66,0.01,0.23
72,0.9019334363054696,0.1,0.0,0.62,0.0,0.28
73,0.9135277961221749,0.11,0.0,0.65,0.0,0.24
74,0.616666666666667,0.12,0.0,0.62,0.01,0.25
75,0.6616666666666667,0.19,0.01,0.58,0.01,0.22
76,0.681666666666667,0.27,0.0,0.58,0.03,0.12
77,0.7602536452500875,0.26,0.0,0.59,0.08,0.07
78,0.7969203119167543,0.29,0.0,0.56,0.08,0.07
79,0.8155072905001752,0.3,0.0,0.53,0.11,0.06
80,0.8376812476670173,0.32,0.0,0.46,0.14,0.08
81,0.8662682262504383,0.32,0.0,0.33,0.23,0.12
82,0.8738406238335084,0.42,0.0,0.34,0.19,0.05
83,0.9235869785834209,0.51,0.0,0.26,0.21,0.02
84,0.9049999999999998,0.5,0.0,0.17,0.23,0.1
85,0.9483333333333333,0.48,0.0,0.06,0.39,0.07
86,0.9433333333333332,0.45,0.0,0.06,0.41,0.08
87,0.9483333333333335,0.46,0.0,0.05,0.4,0.09
88,0.9399999999999998,0.49,0.0,0.06,0.41,0.04
89,0.9583333333333335,0.41,0.0,0.05,0.47,0.07
90,0.9533333333333335,0.46,0.0,0.05,0.45,0.04
91,0.945,0.53,0.0,0.04,0.4,0.03
92,0.9333333333333332,0.43,0.0,0.04,0.46,0.07
93,0.9566666666666667,0.41,0.0,0.04,0.48,0.07
94,0.9166666666666665,0.37,0.0,0.06,0.47,0.1
95,0.9083333333333334,0.35,0.0,0.06,0.5,0.09
96,0.915,0.3,0.0,0.06,0.55,0.09
97,0.9416666666666668,0.24,0.0,0.03,0.65,0.08
98,0.9593108892557567,0.22,0.0,0.03,0.67,0.08
99,0.6716666666666664,0.18,0.0,0.03,0.73,0.06
100,0.6933333333333335,0.28,0.0,0.03,0.52,0.17
101,0.7362035090094544,0.29,0.0,0.05,0.46,0.2
102,0.7540736846855752,0.32,0.0,0.07,0.32,0.29
103,0.7952771936950295,0.34,0.0,0.09,0.3,0.27
104,0.810256449089907,0.3,0.0,0.14,0.21,0.35
105,0.8047932914326945,0.31,0.0,0.13,0.23,0.33
106,0.8188877207233918,0.3,0.0,0.16,0.24,0.3
107,0.824628072075634,0.27,0.0,0.18,0.23,0.32
108,0.8386105270283626,0.3,0.0,0.25,0.15,0.3
109,0.8762035090094541,0.28,0.0,0.34,0.09,0.29
110,0.8817559786059487,0.31,0.0,0.36,0.09,0.24
111,0.8981473693711503,0.31,0.0,0.34,0.08,0.27
112,0.8876842117139381,0.25,0.0,0.37,0.12,0.26
113,0.8705543873900586,0.16,0.0,0.39,0.15,0.3
114,0.8920362570857328,0.19,0.0,0.43,0.11,0.27
115,0.8912947387423006,0.2,0.0,0.38,0.07,0.35
116,0.8975690691570634,0.18,0.0,0.42,0.08,0.32
117,0.8974982477517546,0.2,0.0,0.4,0.05,0.35
118,0.892417957424875,0.19,0.0,0.42,0.04,0.35
119,0.905288133100996,0.17,0.0,0.5,0.02,0.31
120,0.8965025815164168,0.19,0.0,0.44,0.06,0.31
121,0.903052635141814,0.22,0.0,0.43,0.05,0.3
122,0.8996280720756339,0.2,0.0,0.42,0.06,0.32
123,0.8853684234278757,0.16,0.0,0.48,0.08,0.28
124,0.6600000000000003,0.14,0.0,0.48,0.07,0.31
125,0.6966666666666665,0.12,0.0,0.37,0.17,0.34
126,0.7916666666666669,0.16,0.0,0.19,0.21,0.44
127,0.828333333333333,0.19,0.0,0.12,0.2,0.49
128,0.8433333333333333,0.25,0.0,0.09,0.18,0.48
129,0.815,0.25,0.0,0.11,0.21,0.43
130,0.845,0.27,0.0,0.11,0.29,0.33
131,0.8483333333333333,0.19,0.0,0.1,0.37,0.34
132,0.8566666666666665,0.19,0.0,0.12,0.34,0.35
133,0.8683333333333332,0.28,0.0,0.04,0.33,0.35
134,0.893333333333333,0.32,0.0,0.05,0.38,0.25
135,0.9083333333333331,0.24,0.0,0.06,0.39,0.31
136,0.8916666666666663,0.22,0.0,0.07,0.38,0.33
137,0.8799999999999999,0.26,0.0,0.02,0.37,0.35
138,0.8966666666666666,0.18,0.0,0.01,0.38,0.43
139,0.89,0.2,0.0,0.01,0.44,0.35
140,0.8916666666666664,0.19,0.0,0.02,0.49,0.3
141,0.8816666666666667,0.29,0.0,0.02,0.41,0.28
142,0.9283333333333331,0.38,0.0,0.02,0.39,0.21
143,0.9233333333333335,0.3,0.0,0.07,0.42,0.21
144,0.9216666666666665,0.26,0.0,0.07,0.51,0.16
145,0.9083333333333333,0.29,0.0,0.06,0.49,0.16
146,0.9366666666666664,0.29,0.0,0.04,0.52,0.15
147,0.9116666666666666,0.25,0.0,0.06,0.48,0.21
148,0.9249999999999996,0.27,0.0,0.04,0.53,0.16
149,0.7233333333333334,0.23,0.0,0.04,0.54,0.19
150,0.7783333333333335,0.32,0.0,0.04,0.46,0.18
151,0.7500000000000001,0.3,0.0,0.07,0.4,0.23
152,0.7680552199856148,0.25,0.0,0.11,0.4,0.24
153,0.7631976544244315,0.19,0.0,0.12,0.45,0.24
154,0.7915309877577645,0.24,0.0,0.1,0.46,0.2
155,0.794864321091098,0.34,0.0,0.07,0.37,0.22
156,0.8148710766210128,0.39,0.0,0.08,0.38,0.15
157,0.834286433172318,0.43,0.0,0.15,0.3,0.12
158,0.8416022049771728,0.45,0.0,0.17,0.29,0.09
159,0.8395352571137156,0.45,0.0,0.19,0.29,0.07
160,0.8625308797960232,0.43,0.0,0.26,0.21,0.1
161,0.8661951682504673,0.4,0.0,0.35,0.15,0.1
162,0.8863308471593692,0.46,0.0,0.35,0.14,0.05
163,0.8979262966066268,0.48,0.0,0.35,0.1,0.07
164,0.892848323857304,0.39,0.0,0.48,0.03,0.1
165,0.8959170549027476,0.43,0.0,0.5,0.01,0.06
166,0.9045929632732936,0.44,0.0,0.47,0.02,0.07
167,0.9128415683273893,0.38,0.0,0.56,0.03,0.03
168,0.9161239510310583,0.35,0.0,0.61,0.01,0.03
169,0.9253661891036277,0.33,0.0,0.6,0.03,0.04
170,0.9343283609854047,0.31,0.0,0.62,0.01,0.06
171,0.9258458376833398,0.24,0.0,0.68,0.02,0.06
172,0.9221996088908173,0.23,0.0,0.64,0.01,0.12
173,0.9237160811268561,0.27,0.0,0.59,0.01,0.13
174,0.6233333333333332,0.28,0.0,0.57,0.01,0.14
175,0.6750000000000002,0.33,0.0,0.53,0.04,0.1
176,0.7183333333333333,0.3,0.0,0.51,0.05,0.14
