,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.2550885839205281,1.0,0.0,0.0,0.0,0.0
1,0.28063536435574993,0.94,0.0,0.04,0.02,0.0
2,0.353776043353366,0.77,0.0,0.1,0.13,0.0
3,0.4736806735935524,0.64,0.0,0.09,0.22,0.05
4,0.8583333333333334,0.41,0.0,0.12,0.33,0.14
5,0.87,0.45,0.0,0.13,0.33,0.09
6,0.908333333333333,0.5,0.0,0.21,0.26,0.03
7,0.9099999999999997,0.54,0.0,0.23,0.19,0.04
8,0.9366666666666664,0.5,0.0,0.3,0.16,0.04
9,0.4599999999999998,0.5,0.0,0.31,0.16,0.03
10,0.6666666666666663,0.56,0.0,0.19,0.21,0.04
11,0.6880080346814695,0.47,0.0,0.12,0.34,0.07
12,0.8133333333333336,0.41,0.0,0.08,0.47,0.04
13,0.8345825306910539,0.35,0.0,0.07,0.53,0.05
14,0.8166666666666668,0.29,0.0,0.05,0.59,0.07
15,0.8383333333333334,0.29,0.0,0.08,0.59,0.04
16,0.8149999999999996,0.22,0.0,0.1,0.61,0.07
17,0.8000000000000002,0.25,0.0,0.07,0.56,0.12
18,0.8286271225912089,0.27,0.0,0.11,0.51,0.11
19,0.7816666666666666,0.34,0.0,0.14,0.39,0.13
20,0.7983333333333333,0.31,0.0,0.12,0.44,0.13
21,0.8533333333333333,0.35,0.0,0.09,0.46,0.1
22,0.8416666666666667,0.34,0.0,0.12,0.46,0.08
23,0.8166666666666668,0.32,0.0,0.14,0.43,0.11
24,0.7866666666666668,0.32,0.0,0.09,0.49,0.1
25,0.8076344480460087,0.31,0.0,0.11,0.46,0.12
26,0.7976344480460087,0.31,0.0,0.15,0.38,0.16
27,0.8288674958120577,0.3,0.0,0.21,0.34,0.15
28,0.8453730693754328,0.29,0.0,0.26,0.23,0.22
29,0.7249999999999999,0.31,0.0,0.34,0.19,0.16
30,0.7933333333333333,0.31,0.0,0.27,0.32,0.1
31,0.7882017353558755,0.28,0.0,0.25,0.35,0.12
32,0.8698684020225419,0.31,0.0,0.09,0.49,0.11
33,0.8431257597445224,0.27,0.0,0.09,0.53,0.11
34,0.7783333333333333,0.27,0.0,0.03,0.54,0.16
35,0.7816666666666668,0.29,0.0,0.04,0.56,0.11
36,0.7833333333333335,0.3,0.0,0.1,0.47,0.13
37,0.8232763600731505,0.37,0.0,0.12,0.37,0.14
38,0.8566096934064841,0.52,0.0,0.14,0.23,0.11
39,0.7900000000000001,0.48,0.0,0.18,0.23,0.11
40,0.7931601687193722,0.48,0.0,0.16,0.26,0.1
41,0.8146562912414885,0.5,0.0,0.13,0.25,0.12
42,0.7683324598435297,0.4,0.0,0.17,0.31,0.12
43,0.8266657931768628,0.48,0.0,0.09,0.32,0.11
44,0.8349999999999999,0.54,0.0,0.05,0.35,0.06
45,0.8583333333333334,0.55,0.0,0.07,0.33,0.05
46,0.8633333333333336,0.53,0.0,0.08,0.33,0.06
47,0.8745419776641188,0.55,0.0,0.12,0.3,0.03
48,0.9002925996590224,0.63,0.0,0.15,0.19,0.03
49,0.8149999999999998,0.54,0.0,0.19,0.24,0.03
50,0.825,0.54,0.0,0.11,0.3,0.05
51,0.8533333333333333,0.51,0.0,0.1,0.37,0.02
52,0.9283333333333332,0.58,0.0,0.06,0.35,0.01
53,0.8718195619644521,0.45,0.0,0.1,0.44,0.01
54,0.815,0.38,0.0,0.08,0.48,0.06
55,0.8516666666666669,0.37,0.0,0.13,0.46,0.04
56,0.8799999999999996,0.41,0.0,0.14,0.33,0.12
57,0.8716666666666666,0.44,0.0,0.14,0.27,0.15
58,0.883333333333333,0.45,0.0,0.09,0.32,0.14
59,0.7433333333333333,0.4,0.0,0.11,0.35,0.14
60,0.7877532378914727,0.33,0.0,0.12,0.42,0.13
61,0.8147099522790698,0.22,0.0,0.09,0.58,0.11
62,0.8563766189457362,0.21,0.0,0.05,0.64,0.1
63,0.8763766189457364,0.25,0.0,0.06,0.63,0.06
64,0.7950000000000002,0.22,0.0,0.09,0.65,0.04
65,0.85,0.25,0.0,0.17,0.5,0.08
66,0.848333333333333,0.25,0.0,0.18,0.38,0.19
