,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.9835476275836182,1.0,0.0,0.0,0.0,0.0
1,0.9768690952592568,0.93,0.0,0.05,0.02,0.0
2,0.9476069052630579,0.81,0.0,0.13,0.05,0.01
3,0.9501751031116404,0.75,0.0,0.16,0.08,0.01
4,0.9866666666666666,0.8,0.0,0.17,0.02,0.01
5,0.9799999999999999,0.67,0.0,0.27,0.05,0.01
6,0.975,0.65,0.0,0.29,0.05,0.01
7,0.9766666666666665,0.59,0.0,0.34,0.07,0.0
8,0.9699999999999999,0.47,0.0,0.45,0.08,0.0
9,0.45999999999999974,0.47,0.0,0.43,0.09,0.01
10,0.5783333333333334,0.43,0.0,0.43,0.13,0.01
11,0.6956795413021563,0.4,0.0,0.38,0.19,0.03
12,0.7451376634662816,0.45,0.0,0.29,0.21,0.05
13,0.7779295360036221,0.45,0.0,0.2,0.29,0.06
14,0.885,0.42,0.0,0.18,0.32,0.08
15,0.8816666666666668,0.43,0.0,0.19,0.33,0.05
16,0.8916666666666667,0.48,0.0,0.2,0.25,0.07
17,0.911666666666667,0.52,0.0,0.2,0.23,0.05
18,0.911666666666667,0.46,0.0,0.26,0.24,0.04
19,0.72,0.39,0.0,0.29,0.24,0.08
20,0.7508333333333335,0.35,0.0,0.26,0.3,0.09
21,0.775616470012091,0.35,0.0,0.19,0.3,0.16
22,0.7331164700120911,0.33,0.0,0.22,0.3,0.15
23,0.7678996066908489,0.36,0.0,0.23,0.3,0.11
24,0.8483333333333336,0.33,0.0,0.16,0.35,0.16
25,0.8583333333333333,0.38,0.0,0.15,0.3,0.17
26,0.8999999999999999,0.44,0.0,0.19,0.26,0.11
27,0.9199999999999998,0.49,0.0,0.2,0.16,0.15
28,0.92,0.41,0.0,0.33,0.18,0.08
29,0.6849999999999998,0.38,0.0,0.37,0.16,0.09
30,0.7388408250925501,0.43,0.0,0.19,0.21,0.17
31,0.7048026359599093,0.46,0.0,0.17,0.21,0.16
32,0.7608333333333333,0.6,0.0,0.14,0.15,0.11
33,0.7541666666666665,0.58,0.0,0.11,0.21,0.1
34,0.9249999999999998,0.55,0.0,0.11,0.26,0.08
35,0.9216666666666665,0.55,0.0,0.12,0.27,0.06
36,0.9356922106702973,0.59,0.0,0.12,0.23,0.06
37,0.925,0.56,0.0,0.15,0.24,0.05
38,0.9483333333333335,0.59,0.0,0.21,0.13,0.07
39,0.6933333333333332,0.54,0.0,0.31,0.05,0.1
40,0.7292835187494981,0.6,0.0,0.25,0.04,0.11
41,0.7725532105810113,0.62,0.0,0.24,0.1,0.04
42,0.8066666666666665,0.69,0.0,0.08,0.16,0.07
43,0.7458085913354242,0.65,0.0,0.12,0.17,0.06
44,0.9466666666666668,0.75,0.0,0.09,0.15,0.01
45,0.955,0.79,0.0,0.09,0.1,0.02
46,0.9694300486516186,0.79,0.0,0.1,0.09,0.02
47,0.9566666666666667,0.74,0.0,0.11,0.14,0.01
48,0.9349454190679479,0.71,0.0,0.09,0.18,0.02
49,0.8499999999999999,0.67,0.0,0.08,0.24,0.01
50,0.8716666666666666,0.69,0.0,0.02,0.27,0.02
51,0.8163095215695121,0.6,0.0,0.08,0.3,0.02
52,0.8811020036009376,0.53,0.0,0.03,0.4,0.04
53,0.8238706738685418,0.46,0.0,0.02,0.44,0.08
54,0.8249999999999998,0.3,0.0,0.06,0.59,0.05
55,0.841666666666667,0.39,0.0,0.07,0.48,0.06
56,0.8600000000000001,0.34,0.0,0.11,0.49,0.06
57,0.8797665914999271,0.32,0.0,0.2,0.42,0.06
58,0.8964332581665938,0.36,0.0,0.23,0.35,0.06
59,0.7616666666666666,0.35,0.0,0.26,0.31,0.08
60,0.7833333333333333,0.39,0.0,0.19,0.33,0.09
61,0.8329239631374123,0.38,0.0,0.13,0.37,0.12
62,0.8091479932957448,0.44,0.0,0.12,0.34,0.1
63,0.8547270865360526,0.41,0.0,0.05,0.48,0.06
64,0.8716666666666666,0.45,0.0,0.05,0.44,0.06
65,0.8833333333333335,0.45,0.0,0.07,0.37,0.11
66,0.8766666666666666,0.43,0.0,0.1,0.32,0.15
67,0.8850000000000002,0.43,0.0,0.08,0.26,0.23
68,0.8914556922990932,0.43,0.0,0.14,0.25,0.18
69,0.7866666666666667,0.46,0.0,0.16,0.21,0.17
70,0.8216666666666668,0.48,0.0,0.13,0.29,0.1
71,0.8083333333333336,0.42,0.0,0.13,0.38,0.07
72,0.8413600850374023,0.49,0.0,0.09,0.34,0.08
73,0.8315802551122067,0.52,0.0,0.13,0.32,0.03
74,0.8966666666666668,0.53,0.0,0.12,0.29,0.06
75,0.8966666666666667,0.44,0.0,0.15,0.28,0.13
76,0.878333333333333,0.42,0.0,0.14,0.34,0.1
