X,Y
0.0001,1.0
0.0001,12.0
0.0001,23.0
0.0001,34.0
0.0001,45.0
0.0001,56.0
0.0001,67.0
0.0001,78.0
0.0001,89.0
0.0001,100.0
0.0001668100537200059,1.0
0.0001668100537200059,12.0
0.0001668100537200059,23.0
0.0001668100537200059,34.0
0.0001668100537200059,45.0
0.0001668100537200059,56.0
0.0001668100537200059,67.0
0.0001668100537200059,78.0
0.0001668100537200059,89.0
0.0001668100537200059,100.0
0.0002782559402207126,1.0
0.0002782559402207126,12.0
0.0002782559402207126,23.0
0.0002782559402207126,34.0
0.0002782559402207126,45.0
0.0002782559402207126,56.0
0.0002782559402207126,67.0
0.0002782559402207126,78.0
0.0002782559402207126,89.0
0.0002782559402207126,100.0
0.00046415888336127773,1.0
0.00046415888336127773,12.0
0.00046415888336127773,23.0
0.00046415888336127773,34.0
0.00046415888336127773,45.0
0.00046415888336127773,56.0
0.00046415888336127773,67.0
0.00046415888336127773,78.0
0.00046415888336127773,89.0
0.00046415888336127773,100.0
0.000774263682681127,1.0
0.000774263682681127,12.0
0.000774263682681127,23.0
0.000774263682681127,34.0
0.000774263682681127,45.0
0.000774263682681127,56.0
0.000774263682681127,67.0
0.000774263682681127,78.0
0.000774263682681127,89.0
0.000774263682681127,100.0
0.001291549665014884,1.0
0.001291549665014884,12.0
0.001291549665014884,23.0
0.001291549665014884,34.0
0.001291549665014884,45.0
0.001291549665014884,56.0
0.001291549665014884,67.0
0.001291549665014884,78.0
0.001291549665014884,89.0
0.001291549665014884,100.0
0.002154434690031882,1.0
0.002154434690031882,12.0
0.002154434690031882,23.0
0.002154434690031882,34.0
0.002154434690031882,45.0
0.002154434690031882,56.0
0.002154434690031882,67.0
0.002154434690031882,78.0
0.002154434690031882,89.0
0.002154434690031882,100.0
0.003593813663804626,1.0
0.003593813663804626,12.0
0.003593813663804626,23.0
0.003593813663804626,34.0
0.003593813663804626,45.0
0.003593813663804626,56.0
0.003593813663804626,67.0
0.003593813663804626,78.0
0.003593813663804626,89.0
0.003593813663804626,100.0
0.005994842503189409,1.0
0.005994842503189409,12.0
0.005994842503189409,23.0
0.005994842503189409,34.0
0.005994842503189409,45.0
0.005994842503189409,56.0
0.005994842503189409,67.0
0.005994842503189409,78.0
0.005994842503189409,89.0
0.005994842503189409,100.0
0.01,1.0
0.01,12.0
0.01,23.0
0.01,34.0
0.01,45.0
0.01,56.0
0.01,67.0
0.01,78.0
0.01,89.0
0.01,100.0
