,meanfitness,seqscommon,seqstarget,extreme0,extreme1,other
0,0.61348514520579,1.0,0.0,0.0,0.0,0.0
1,0.6114874395824321,0.9992,0.0,0.0003,0.0005,0.0
2,0.6084797556124772,0.9984999999999999,0.0,0.0008,0.0007000000000000001,0.0
3,0.6121794511677159,0.9984999999999999,0.0,0.0009,0.0006,0.0
4,0.6114534936466124,0.9971000000000001,0.0,0.0021000000000000003,0.0008,0.0
5,0.6146459826899657,0.9956999999999999,0.0,0.0032,0.0011,0.0
6,0.6120044186395853,0.9931,0.0,0.0055000000000000005,0.0014000000000000002,0.0
7,0.6156194756920571,0.9893000000000001,0.0,0.008400000000000001,0.0023,0.0
8,0.6159566266046497,0.9851000000000001,0.0,0.0111,0.0038,0.0
9,0.6183370738729927,0.9832000000000001,0.0,0.0126,0.004200000000000001,0.0
10,0.6167280411708671,0.9815,0.0,0.013800000000000003,0.0047,0.0
11,0.6204954117997851,0.9788,0.0,0.0155,0.0057,0.0
12,0.6239490596320048,0.9757000000000001,0.0,0.0189,0.0054,0.0
13,0.626620203450111,0.9700000000000002,0.0,0.023700000000000002,0.0063,0.0
14,0.6305882106140903,0.9616,0.0,0.031100000000000003,0.007300000000000001,0.0
15,0.6362259619047592,0.9523999999999999,0.0,0.0378,0.009800000000000001,0.0
16,0.6372164124897429,0.9445999999999999,0.0,0.04479999999999999,0.0106,0.0
17,0.6435740281927265,0.9362999999999999,0.0,0.0525,0.011200000000000002,0.0
18,0.6469451981700455,0.9265000000000001,0.0,0.061500000000000006,0.012,0.0
19,0.6493088175499753,0.9160999999999998,0.0,0.0687,0.015199999999999998,0.0
20,0.6554970527956431,0.8998,0.0,0.0814,0.0188,0.0
21,0.6611169907257978,0.8863,0.0,0.09420000000000002,0.019500000000000003,0.0
22,0.6653097833034756,0.8713000000000001,0.0,0.109,0.019700000000000002,0.0
23,0.6695612855428079,0.8560000000000001,0.0,0.12070000000000002,0.0233,0.0
24,0.673436951860631,0.8426,0.0,0.1335,0.023899999999999998,0.0
25,0.6774233964358133,0.8325,0.0,0.1418,0.025700000000000004,0.0
26,0.6821635029354769,0.8251000000000001,0.0,0.1501,0.0248,0.0
27,0.6854495119882718,0.8111,0.0,0.1602,0.0287,0.0
28,0.6888812883069017,0.8029999999999999,0.0,0.1663,0.0307,0.0
29,0.6941451393667297,0.795,0.0,0.17310000000000003,0.031799999999999995,0.0001
30,0.6953374342674752,0.7869999999999999,0.0,0.17950000000000002,0.0334,0.0001
31,0.6990551034208301,0.7826000000000001,0.0,0.18290000000000003,0.034300000000000004,0.0002
32,0.7044561821974277,0.7752,0.0,0.1898,0.0346,0.0004
33,0.7066780257571682,0.7674,0.0,0.1977,0.0346,0.0003
34,0.7103633678321044,0.7567,0.0,0.2072,0.0357,0.0004
35,0.7181128436397077,0.7447,0.0,0.2177,0.036699999999999997,0.0009
36,0.7239577288138023,0.7355000000000002,0.0,0.22789999999999996,0.035500000000000004,0.0011
37,0.7261042192708964,0.7293000000000001,0.0,0.23359999999999995,0.0355,0.0016
38,0.7286901018624037,0.7217999999999999,0.0,0.2372,0.0391,0.0019
39,0.7312923580144198,0.7142000000000001,0.0,0.24360000000000004,0.0405,0.0017000000000000001
40,0.7381346548367874,0.7081999999999999,0.0,0.2486,0.041400000000000006,0.0018000000000000002
41,0.7394547727520885,0.7007000000000001,0.0001,0.2547,0.0431,0.0015000000000000002
42,0.7418846128931672,0.6911999999999999,0.0002,0.263,0.043800000000000006,0.0020000000000000005
43,0.7462975385178896,0.6779,0.0002,0.273,0.047200000000000006,0.0019
44,0.9288666666666665,0.6725,0.0001,0.2793,0.0463,0.0019
45,0.9327643700283201,0.6797000000000001,0.0001,0.27149999999999996,0.04650000000000001,0.0023
46,0.9340844064909685,0.6864999999999999,0.0,0.26539999999999997,0.045700000000000005,0.0024
47,0.9372832757778944,0.6953,0.0,0.2569,0.0462,0.0016
48,0.9385543448221422,0.6985000000000001,0.0,0.2507,0.049100000000000005,0.0017
49,0.9397909652899795,0.7049000000000001,0.0,0.2463,0.0478,0.001
50,0.9423135371229957,0.7089000000000002,0.0,0.24119999999999997,0.049,0.0009
51,0.9430632091908911,0.7130000000000001,0.0,0.2358,0.049800000000000004,0.0013999999999999998
52,0.9432335194686716,0.7189,0.0,0.23119999999999996,0.0486,0.0013
53,0.944866221795079,0.7215,0.0,0.2269,0.0509,0.0007000000000000001
54,0.9463654492447735,0.7265999999999999,0.0,0.22190000000000001,0.05050000000000001,0.001
55,0.9472791033072525,0.7319999999999999,0.0,0.2174,0.0498,0.0008
56,0.9472833333333334,0.7364,0.0,0.2152,0.047599999999999996,0.0007999999999999999
57,0.9482426411835259,0.7373000000000001,0.0,0.2126,0.049400000000000006,0.0007000000000000001
58,0.9475979594303625,0.7371000000000001,0.0,0.2116,0.0507,0.0006
59,0.949325935436759,0.7394,0.0,0.2107,0.049499999999999995,0.0004
60,0.9488179736936806,0.7411999999999999,0.0,0.2087,0.04970000000000001,0.0004
61,0.9495757268115309,0.745,0.0,0.20600000000000002,0.048499999999999995,0.0005
62,0.9508498136980928,0.7436000000000001,0.0,0.2053,0.0504,0.0007000000000000001
63,0.9504902677098006,0.7411,0.0,0.20459999999999998,0.0535,0.0007999999999999999
64,0.9514894977635591,0.7445999999999999,0.0,0.20069999999999996,0.053899999999999997,0.0008
65,0.952304103019459,0.7453,0.0,0.19819999999999996,0.055099999999999996,0.0014000000000000002
66,0.9525803592172886,0.7453,0.0,0.1963,0.056799999999999996,0.0016
